C:/Users/Frost/Documents/Dropbox/ITU/KurserITU/Thesis Project/Repository/src/torch_rl_scripts/train.py --algo ppo --env TMaze-1x5-v0 --model TMaze1x5x3 --save-interval 10 --recurrence 2 --view-size 3

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='TMaze-1x5-viewsize_3-v0', epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.0007, max_grad_norm=0.5, mem=True, model='TMaze1x5x3', optim_alpha=0.99, optim_eps=1e-05, procs=16, recurrence=2, save_interval=10, seed=1, tb=False, text=False, value_loss_coef=0.5, view_size=3)

Model successfully created

TMazeRLModule(
  (memory_rnn): LSTMCell(28, 28)
  (actor): Sequential(
    (0): Linear(in_features=28, out_features=28, bias=True)
    (1): Tanh()
    (2): Linear(in_features=28, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=28, out_features=28, bias=True)
    (1): Tanh()
    (2): Linear(in_features=28, out_features=1, bias=True)
  )
)

CUDA available: True

U 1 | F 002048 | FPS 0616 | D 3 | rR:usmM 0.05 0.05 0.00 0.15 | F:usmM 77.4 2.4 72.0 80.0 | H 1.903 | V 0.054 | pL 0.001 | vL 0.001 | V 0.014
U 2 | F 004096 | FPS 0635 | D 6 | rR:usmM 0.03 0.05 0.00 0.17 | F:usmM 77.5 2.9 70.0 80.0 | H 1.911 | V 0.039 | pL 0.010 | vL 0.001 | V 0.009
U 3 | F 006144 | FPS 0772 | D 9 | rR:usmM 0.05 0.07 0.00 0.25 | F:usmM 75.7 3.3 70.0 80.0 | H 1.914 | V 0.036 | pL 0.004 | vL 0.001 | V 0.014
U 4 | F 008192 | FPS 0773 | D 11 | rR:usmM 0.05 0.06 0.00 0.24 | F:usmM 76.1 3.5 67.0 80.0 | H 1.915 | V 0.037 | pL 0.002 | vL 0.000 | V 0.007
U 5 | F 010240 | FPS 0783 | D 14 | rR:usmM 0.06 0.07 0.00 0.22 | F:usmM 76.3 3.5 68.0 80.0 | H 1.902 | V 0.033 | pL -0.003 | vL 0.001 | V 0.011
U 6 | F 012288 | FPS 0762 | D 17 | rR:usmM 0.07 0.08 0.00 0.27 | F:usmM 73.3 4.1 62.0 80.0 | H 1.900 | V 0.034 | pL -0.002 | vL 0.001 | V 0.009
U 7 | F 014336 | FPS 0768 | D 19 | rR:usmM 0.09 0.08 0.00 0.29 | F:usmM 73.6 4.6 59.0 80.0 | H 1.881 | V 0.041 | pL -0.008 | vL 0.001 | V 0.009
U 8 | F 016384 | FPS 0763 | D 22 | rR:usmM 0.11 0.10 0.00 0.36 | F:usmM 73.0 4.8 62.0 80.0 | H 1.856 | V 0.049 | pL -0.010 | vL 0.001 | V 0.014
U 9 | F 018432 | FPS 0550 | D 26 | rR:usmM 0.16 0.10 0.01 0.41 | F:usmM 68.0 6.0 54.0 78.0 | H 1.801 | V 0.064 | pL -0.015 | vL 0.001 | V 0.016
U 10 | F 020480 | FPS 0729 | D 29 | rR:usmM 0.18 0.10 0.01 0.44 | F:usmM 65.8 5.5 51.0 78.0 | H 1.781 | V 0.073 | pL -0.017 | vL 0.002 | V 0.025
Model successfully saved
U 11 | F 022528 | FPS 0760 | D 31 | rR:usmM 0.19 0.09 0.05 0.41 | F:usmM 65.6 5.8 53.0 74.0 | H 1.741 | V 0.095 | pL -0.013 | vL 0.002 | V 0.016
U 12 | F 024576 | FPS 0769 | D 34 | rR:usmM 0.24 0.12 0.02 0.49 | F:usmM 61.1 6.9 49.0 74.0 | H 1.653 | V 0.115 | pL -0.019 | vL 0.004 | V 0.041
U 13 | F 026624 | FPS 0739 | D 37 | rR:usmM 0.24 0.12 0.02 0.55 | F:usmM 61.1 6.0 42.0 73.0 | H 1.691 | V 0.120 | pL -0.017 | vL 0.003 | V 0.024
U 14 | F 028672 | FPS 0752 | D 39 | rR:usmM 0.25 0.11 0.10 0.61 | F:usmM 58.7 6.0 47.0 72.0 | H 1.643 | V 0.134 | pL -0.014 | vL 0.004 | V 0.025
U 15 | F 030720 | FPS 0785 | D 42 | rR:usmM 0.27 0.13 0.02 0.55 | F:usmM 57.1 6.2 42.0 72.0 | H 1.621 | V 0.155 | pL -0.005 | vL 0.005 | V 0.033
U 16 | F 032768 | FPS 0770 | D 45 | rR:usmM 0.28 0.13 0.02 0.66 | F:usmM 55.7 5.5 44.0 68.0 | H 1.609 | V 0.150 | pL -0.006 | vL 0.005 | V 0.022
U 17 | F 034816 | FPS 0781 | D 47 | rR:usmM 0.29 0.13 0.03 0.64 | F:usmM 55.8 6.5 41.0 70.0 | H 1.527 | V 0.150 | pL -0.013 | vL 0.005 | V 0.027
U 18 | F 036864 | FPS 0788 | D 50 | rR:usmM 0.33 0.13 0.12 0.66 | F:usmM 54.3 6.3 39.0 66.0 | H 1.495 | V 0.171 | pL -0.014 | vL 0.006 | V 0.027
U 19 | F 038912 | FPS 0761 | D 53 | rR:usmM 0.33 0.13 0.12 0.66 | F:usmM 51.2 5.7 39.0 71.0 | H 1.507 | V 0.200 | pL 0.001 | vL 0.007 | V 0.029
U 20 | F 040960 | FPS 0794 | D 55 | rR:usmM 0.32 0.12 0.11 0.64 | F:usmM 52.4 6.4 40.0 65.0 | H 1.545 | V 0.201 | pL 0.004 | vL 0.007 | V 0.038
Model successfully saved
U 21 | F 043008 | FPS 0747 | D 58 | rR:usmM 0.33 0.13 0.11 0.65 | F:usmM 53.8 6.1 41.0 64.0 | H 1.610 | V 0.219 | pL 0.015 | vL 0.007 | V 0.026
U 22 | F 045056 | FPS 0721 | D 61 | rR:usmM 0.34 0.13 0.04 0.79 | F:usmM 55.9 5.7 45.0 67.0 | H 1.587 | V 0.210 | pL 0.006 | vL 0.007 | V 0.040
U 23 | F 047104 | FPS 0664 | D 64 | rR:usmM 0.29 0.12 0.04 0.51 | F:usmM 56.7 5.7 48.0 69.0 | H 1.586 | V 0.188 | pL 0.011 | vL 0.006 | V 0.027
U 24 | F 049152 | FPS 0682 | D 67 | rR:usmM 0.33 0.14 0.04 0.65 | F:usmM 54.7 5.7 43.0 71.0 | H 1.637 | V 0.192 | pL 0.008 | vL 0.006 | V 0.025
U 25 | F 051200 | FPS 0708 | D 70 | rR:usmM 0.28 0.11 0.06 0.50 | F:usmM 55.9 5.9 42.0 67.0 | H 1.642 | V 0.187 | pL 0.013 | vL 0.005 | V 0.025
U 26 | F 053248 | FPS 0703 | D 73 | rR:usmM 0.28 0.13 0.07 0.58 | F:usmM 59.5 4.3 48.0 68.0 | H 1.605 | V 0.167 | pL 0.008 | vL 0.004 | V 0.031
U 27 | F 055296 | FPS 0735 | D 76 | rR:usmM 0.33 0.14 0.04 0.59 | F:usmM 53.3 5.6 40.0 65.0 | H 1.576 | V 0.181 | pL -0.014 | vL 0.005 | V 0.026
U 28 | F 057344 | FPS 0771 | D 78 | rR:usmM 0.31 0.11 0.06 0.60 | F:usmM 54.5 4.4 42.0 62.0 | H 1.601 | V 0.183 | pL 0.005 | vL 0.005 | V 0.035
U 29 | F 059392 | FPS 0765 | D 81 | rR:usmM 0.32 0.10 0.09 0.64 | F:usmM 54.6 5.2 42.0 66.0 | H 1.604 | V 0.179 | pL -0.012 | vL 0.005 | V 0.023
U 30 | F 061440 | FPS 0772 | D 84 | rR:usmM 0.32 0.14 0.04 0.62 | F:usmM 56.0 5.6 44.0 66.0 | H 1.637 | V 0.197 | pL 0.011 | vL 0.005 | V 0.021
Model successfully saved
U 31 | F 063488 | FPS 0739 | D 86 | rR:usmM 0.25 0.11 0.06 0.49 | F:usmM 59.2 4.0 49.0 66.0 | H 1.733 | V 0.225 | pL 0.031 | vL 0.007 | V 0.039
U 32 | F 065536 | FPS 0749 | D 89 | rR:usmM 0.24 0.09 0.06 0.45 | F:usmM 61.9 5.4 52.0 73.0 | H 1.779 | V 0.191 | pL 0.033 | vL 0.005 | V 0.027
U 33 | F 067584 | FPS 0733 | D 92 | rR:usmM 0.17 0.09 0.01 0.37 | F:usmM 64.6 5.6 55.0 78.0 | H 1.797 | V 0.157 | pL 0.030 | vL 0.003 | V 0.022
U 34 | F 069632 | FPS 0764 | D 95 | rR:usmM 0.18 0.07 0.01 0.34 | F:usmM 66.9 4.7 56.0 75.0 | H 1.763 | V 0.143 | pL 0.015 | vL 0.003 | V 0.028
U 35 | F 071680 | FPS 0752 | D 97 | rR:usmM 0.21 0.08 0.04 0.36 | F:usmM 65.0 3.5 57.0 72.0 | H 1.798 | V 0.119 | pL 0.003 | vL 0.002 | V 0.013
