update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,894.813561935112,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9264596849679947,-0.09836377203464508,-0.014795343740843236,0.0014981810236349702,0.03668111147889799,0.0,0.0,0,0
2,4096,943.8787395573692,4,0.06374999973922968,0.14808915372417483,0.0,0.5067999958992004,237.5,31.786396461379514,137.0,250.0,1.9345395863056183,-0.06503622187301517,-0.031387992668896914,0.0019500145863275975,0.021072099605108835,0.06374999973922968,0.14808915372417483,0.0,0.5067999958992004
3,6144,939.9897434191463,6,0.06374999973922968,0.14808915372417483,0.0,0.5067999958992004,237.5,31.786396461379514,137.0,250.0,1.9388195872306824,-0.051881957333534956,-0.008852277882397175,6.339121136988979e-05,0.007404569339915374,0.06374999973922968,0.14808915372417483,0.0,0.5067999958992004
4,8192,962.0551572036976,8,0.06599999964237213,0.14028371181772736,0.0,0.42399999499320984,236.875,28.433859657105998,160.0,250.0,1.9399938583374023,-0.031008034944534302,-0.021537175169214606,0.0013567429850809276,0.027613157381624294,0.06599999964237213,0.14028371181772736,0.0,0.42399999499320984
5,10240,937.4100605490755,10,0.06599999964237213,0.14028371181772736,0.0,0.42399999499320984,236.875,28.433859657105998,160.0,250.0,1.941413253545761,-0.030823662411421537,-0.006369330862071365,7.334776364587015e-05,0.0061708358652180235,0.06599999964237213,0.14028371181772736,0.0,0.42399999499320984
6,12288,928.0693851131567,13,0.025599999353289604,0.09914837115821128,0.0,0.40959998965263367,244.625,20.817285485864865,164.0,250.0,1.9411913305521011,-0.0190286684082821,-0.0103273072745651,0.0007211848387669306,0.01208584478949502,0.025599999353289604,0.09914837115821128,0.0,0.40959998965263367
7,14336,914.811506605916,15,0.025599999353289604,0.09914837115821128,0.0,0.40959998965263367,244.625,20.817285485864865,164.0,250.0,1.9413885176181793,-0.013417032547295094,-0.0033567918289918453,9.585355201124912e-05,0.005883625537567702,0.025599999353289604,0.09914837115821128,0.0,0.40959998965263367
8,16384,935.6938769752522,17,0.008949999697506428,0.03466319977700381,0.0,0.14319999516010284,249.25,2.9047375096555625,238.0,250.0,1.9429217278957367,-0.009842221392318606,-0.004072040057508275,6.75799856253434e-05,0.0037437143990237806,0.008949999697506428,0.03466319977700381,0.0,0.14319999516010284
9,18432,968.8783080706825,19,0.09029999934136868,0.19446811857127902,0.0,0.6399999856948853,230.125,43.62750709128359,100.0,250.0,1.9373829364776611,0.004451277880434645,-0.013681003008969128,0.0021151548644411378,0.030118692929324044,0.09029999934136868,0.19446811857127902,0.0,0.6399999856948853
10,20480,920.1517107132398,21,0.1551749985665083,0.2105089745522165,0.0,0.6399999856948853,217.3125,45.863545913394006,100.0,250.0,1.9383729845285416,0.007664960197871551,-0.010189590393565595,0.0010779906078823842,0.0145452341176836,0.1551749985665083,0.2105089745522165,0.0,0.6399999856948853
11,22528,921.8073476653468,24,0.09204999916255474,0.16051123675676804,0.0,0.4131999909877777,231.375,32.668553304362895,163.0,250.0,1.9383779168128967,0.011700251430738717,0.0023934491582622286,0.0001757405243552057,0.009815981888077155,0.09204999916255474,0.16051123675676804,0.0,0.4131999909877777
12,24576,957.5594590985228,26,0.015475000254809856,0.0599344182694341,0.0,0.2476000040769577,247.4375,9.924519824656505,209.0,250.0,1.93613101541996,0.011825888534076512,0.0003676260148495203,0.00033782137870730367,0.007588659548158275,0.015475000254809856,0.0599344182694341,0.0,0.2476000040769577
13,26624,982.8191371331462,28,0.13362500350922346,0.2464863330879068,0.0,0.8992000222206116,221.5625,58.617370239119396,28.0,250.0,1.9233678728342056,0.030118231661617756,-0.011341858189553022,0.00400326625094749,0.04087374287402941,0.13362500350922346,0.2464863330879068,0.0,0.8992000222206116
14,28672,1011.4401453658968,30,0.18627500347793102,0.3029851114010591,0.0,0.8992000222206116,206.9375,72.61410740173014,28.0,250.0,1.9318896532058716,0.04598072962835431,-0.005733369383960962,0.0023693581897532567,0.03532394241120926,0.18627500347793102,0.3029851114010591,0.0,0.8992000222206116
15,30720,974.4027984970714,32,0.23450000118464231,0.2886253829084372,0.0,0.8704000115394592,198.75,69.36362519361283,36.0,250.0,1.8936923444271088,0.05330642918124795,-0.0053229371551424265,0.0034182326053269207,0.048751064600468255,0.23450000118464231,0.2886253829084372,0.0,0.8704000115394592
16,32768,1011.9397539023887,34,0.23994999937713146,0.30499271572136927,0.0,0.8235999941825867,195.5,72.69456650947167,49.0,250.0,1.8760427832603455,0.0683434046804905,-0.02113753161393106,0.005173208308406174,0.06982729293491209,0.23994999937713146,0.30499271572136927,0.0,0.8235999941825867
17,34816,986.6046542825974,36,0.32309999968856573,0.31310472478461177,0.0,0.8271999955177307,175.875,74.6515865538034,48.0,250.0,1.8864519000053406,0.0666476427577436,-0.01744235388468951,0.005417591746663675,0.05375963295621758,0.32309999968856573,0.31310472478461177,0.0,0.8271999955177307
18,36864,989.4629561945633,38,0.3005500007420778,0.2760153926690386,0.0,0.7983999848365784,183.875,65.72658803711022,56.0,250.0,1.8719542473554611,0.09364659059792757,-0.008361298780073412,0.005438666441477835,0.04528327315054629,0.3005500007420778,0.2760153926690386,0.0,0.7983999848365784
19,38912,968.4205236365178,40,0.4263500003144145,0.27384915106114555,0.0,0.848800003528595,155.875,71.0526873172296,42.0,250.0,1.857684537768364,0.1142039867118001,-0.02356434310786426,0.00836160354083404,0.04761503851237238,0.4263500003144145,0.27384915106114555,0.0,0.848800003528595
20,40960,989.4629561945633,42,0.4185249963775277,0.3062524315666452,0.0,0.920799970626831,156.3125,78.38025799747025,22.0,250.0,1.8364405184984207,0.13910106383264065,-0.02118728484492749,0.008873098879121244,0.07207399862577357,0.4185249963775277,0.3062524315666452,0.0,0.920799970626831
21,43008,962.9594752402625,45,0.5581411719322205,0.3077763552872568,0.0,0.9279999732971191,119.47058823529412,79.84920909922418,20.0,250.0,1.7600181847810745,0.20207953453063965,-0.02615562453866005,0.010592861333861947,0.0690221205685828,0.5581411719322205,0.3077763552872568,0.0,0.9279999732971191
22,45056,1010.9411488898157,47,0.5856631539369884,0.2626343959382044,0.0,0.9243999719619751,113.63157894736842,69.89331006787249,21.0,250.0,1.7951967865228653,0.2428213767707348,-0.03603341360576451,0.010717432014644146,0.06489547869980763,0.5856631539369884,0.2626343959382044,0.0,0.9243999719619751
23,47104,985.1816305694439,49,0.7391675674432033,0.2114205507197656,0.0,0.9459999799728394,71.70270270270271,56.222465868823946,15.0,250.0,1.7157724499702454,0.3532404862344265,-0.08943101484328508,0.01892968243919313,0.15052748286309958,0.7391675674432033,0.2114205507197656,0.0,0.9459999799728394
24,49152,760.0807330454915,51,0.7939619038786206,0.17140108024011244,0.0,0.9711999893188477,56.57142857142857,44.64363808840749,8.0,250.0,1.5975279361009598,0.47353504970669746,-0.08945645019412041,0.016538739786483347,0.15371116006331603,0.7939619038786206,0.17140108024011244,0.0,0.9711999893188477
25,51200,911.1504440698928,54,0.8547040045261383,0.08140064003083082,0.6003999710083008,0.9711999893188477,40.36,22.611289215787764,8.0,111.0,1.527195304632187,0.5510270297527313,-0.08849474415183067,0.011240030522458255,0.10829637213553009,0.8547040045261383,0.08140064003083082,0.6003999710083008,0.9711999893188477
26,53248,999.5988298902574,56,0.8849028544766563,0.0636613392062976,0.6868000030517578,0.9639999866485596,31.97142857142857,17.683706324969183,10.0,87.0,1.4536055326461792,0.6574862748384476,-0.09446085151284933,0.009478478343226016,0.10680393741465202,0.8849028544766563,0.0636613392062976,0.6868000030517578,0.9639999866485596
27,55296,1016.457217534269,58,0.9057249948382378,0.04963919509290766,0.6904000043869019,0.9639999866485596,26.1875,13.78866722167157,10.0,86.0,1.3517678380012512,0.7216478437185287,-0.0740218460559845,0.005679590278305113,0.10772003926516666,0.9057249948382378,0.04963919509290766,0.6904000043869019,0.9639999866485596
28,57344,954.4376010833782,60,0.9163310308566038,0.043272224704682546,0.7516000270843506,0.9711999893188477,23.24137931034483,12.020065137660234,8.0,69.0,1.2557079643011093,0.7545898780226707,-0.041430563665926456,0.004281113564502448,0.08219104775061856,0.9163310308566038,0.043272224704682546,0.7516000270843506,0.9711999893188477
21,43008,1084.2220498617196,1,0.63654999807477,0.3213417456232432,0.0,0.9243999719619751,48.875,36.10899299343586,0.0,113.0,1.7932327091693878,0.19731071218848228,-0.05230252258479595,0.011306531727313995,0.08376674710916172,0.63654999807477,0.3213417456232432,0.0,0.9243999719619751
22,45056,1044.4333276227483,3,0.619216668109099,0.2668506085541571,0.0,0.9603999853134155,103.45833333333333,68.97220404304589,11.0,250.0,1.8072478622198105,0.2370423562824726,-0.04472246067598462,0.014381866320036352,0.10427313562957519,0.619216668109099,0.2668506085541571,0.0,0.9603999853134155
23,47104,1081.9312319776468,5,0.7016640055179596,0.19834656454150418,0.0,0.8992000222206116,81.76,51.30401933572067,28.0,250.0,1.7419490367174149,0.2989371418952942,-0.07094135694205761,0.015233649755828083,0.10983547077459774,0.7016640055179596,0.19834656454150418,0.0,0.8992000222206116
24,49152,1066.724642619687,7,0.7130080044269562,0.16603618547951138,0.18639999628067017,0.9172000288963318,79.72,46.12116217096009,23.0,226.0,1.7263827174901962,0.36332298070192337,-0.054397189524024725,0.013915088842622936,0.09570911897104843,0.7130080044269562,0.16603618547951138,0.18639999628067017,0.9172000288963318
